iter	RMSE
382	5.056884411
383	5.053800135
384	5.05224539
385	5.048504744
386	5.044846346
387	5.041527747
388	5.037316005
389	5.034369151
390	5.031656531
391	5.028885063
392	5.025516506
393	5.022802811
394	5.020240783
395	5.016277761
396	5.013386609
397	5.0099075
398	5.006118752
399	5.002718845
400	4.99972214
401	4.996098212
402	4.993571304
403	4.990695051
404	4.987297713
405	4.982276982
406	4.97868099
407	4.976393409
408	4.973920466
409	4.97109935
410	4.966858622
411	4.963697127
412	4.959064225
413	4.957216778
414	4.954726569
415	4.951650317
416	4.949589061
417	4.946106559
418	4.943366929
419	4.940608564
420	4.93764299
421	4.934253119
422	4.93070561
423	4.928045556
424	4.925580747
425	4.923141686
426	4.919560542
427	4.916294941
428	4.913377536
429	4.9110471
430	4.907484325
431	4.904308608
432	4.901870441
433	4.899468459
434	4.896528174
435	4.893897848
436	4.890026364
437	4.886390677
438	4.884074893
439	4.881745546
440	4.879451807
441	4.877063517
442	4.873885722
443	4.87097714
444	4.866711403
445	4.86366348
446	4.86177706
447	4.858097324
448	4.855502696
449	4.851235678
450	4.848777867
451	4.846105192
452	4.842443898
453	4.839324077
454	4.837421062
455	4.833515739
456	4.828955619
457	4.827161534
458	4.824251657
459	4.821825355
460	4.820041008
461	4.817971068
462	4.814777968
463	4.8111234
464	4.808575622
465	4.805873313
466	4.804123479
467	4.801981638
468	4.799968146
469	4.79758718
470	4.793758171
471	4.789518709
472	4.787215278
473	4.783831399
474	4.781019036
475	4.779685994
476	4.776643122
477	4.77434811
478	4.772645663
479	4.769199001
480	4.766268939
481	4.7631895
482	4.760067155
483	4.758839679
484	4.755542379
485	4.751705241
486	4.749699797
487	4.747428778
488	4.743396197
489	4.741890538
490	4.738013755
491	4.735521958
492	4.732591975
493	4.730579466
494	4.729044322
495	4.725990615
496	4.722164971
497	4.718957189
498	4.71711124
499	4.713403681
500	4.710556161
501	4.708285082
502	4.705820272
503	4.702339427
504	4.698201949
505	4.695903484
506	4.692067956
507	4.689114596
508	4.686899162
509	4.68511466
510	4.682182864
511	4.680111402
512	4.676573623
513	4.674086555
514	4.671573249
515	4.668469743
516	4.666400606
517	4.664322451
518	4.663075746
519	4.658978754
520	4.65624047
521	4.654311257
522	4.652045713
523	4.650051302
524	4.646593039
525	4.643820218
526	4.64171821
527	4.638905924
528	4.637103938
529	4.634991675
530	4.63212859
531	4.629079515
532	4.627600195
533	4.624340146
534	4.621368242
535	4.619512747
536	4.618253245
537	4.615628689
538	4.612001779
539	4.610470769
540	4.607581189
541	4.604622293
542	4.601157837
543	4.598437707
544	4.596751234
545	4.593369094
546	4.590842954
547	4.58863408
548	4.584845317
549	4.58295364
550	4.581062028
551	4.579112804
552	4.577264322
553	4.574233707
554	4.571574702
555	4.569649101
556	4.56652979
557	4.563697597
558	4.5614448
559	4.559502905
560	4.557385883
561	4.553472676
562	4.551455683
563	4.548559467
564	4.545340932
565	4.542230736
566	4.538341951
567	4.536048929
568	4.53387241
569	4.531689725
570	4.529894581
571	4.527332379
572	4.524938022
573	4.522598013
574	4.520655943
575	4.518153964
576	4.515899261
577	4.514517854
578	4.510704739
579	4.509228382
580	4.506296637
581	4.504213482
582	4.501180448
583	4.498243649
584	4.496743663
585	4.493048479
586	4.491564566
587	4.488883386
588	4.487115733
589	4.485449431
590	4.483596782
591	4.480232956
592	4.478202096
593	4.475660972
594	4.473657824
595	4.470744798
596	4.468352183
597	4.465859076
598	4.463507418
599	4.461326136
600	4.457520865
601	4.45598583
602	4.453730097
603	4.451919978
604	4.448892441
605	4.445445118
606	4.443678161
607	4.440624521
608	4.437007983
609	4.435239079
610	4.43279564
611	4.430446596
612	4.427776573
613	4.424244022
614	4.422306496
615	4.420021368
616	4.418343107
617	4.415663314
618	4.413851694
619	4.411749665
620	4.407690963
621	4.405766841
622	4.404225938
623	4.40256348
624	4.400840888
625	4.39922735
626	4.395508617
627	4.393351089
628	4.390749706
629	4.388976338
630	4.385193866
631	4.382536107
632	4.381283823
633	4.379393944
634	4.377020159
635	4.37531075
636	4.372090241
637	4.369073051
638	4.366196721
639	4.363580024
640	4.36034604
641	4.357005705
642	4.354223674
643	4.35243262
644	4.350851378
645	4.348621921
646	4.345655147
647	4.342385425
648	4.340181698
649	4.338750276
650	4.336694208
651	4.333918647
652	4.332804326
653	4.329405647
654	4.327594164
655	4.325396508
656	4.323903022
657	4.32243678
658	4.320510427
659	4.319029914
660	4.317105924
661	4.313432441
662	4.311405959
663	4.309005488
664	4.306028238
665	4.30406655
666	4.301097252
667	4.298836071
668	4.296787056
669	4.293885805
670	4.292834011
671	4.291411689
672	4.288411627
673	4.285029194
674	4.282604008
675	4.280891298
676	4.278821514
677	4.277840142
678	4.275273645
679	4.273198207
680	4.271026204
681	4.268399731
682	4.265173099
683	4.263197597
684	4.261366693
685	4.259554934
686	4.256847609
687	4.255565927
688	4.252512412
689	4.249958551
690	4.248514504
691	4.246519385
692	4.244678689
693	4.243171233
694	4.241567272
695	4.239820238
696	4.236489462
697	4.233883712
698	4.232438865
699	4.229522234
700	4.22770499
701	4.225956519
702	4.223029942
703	4.220308584
704	4.217999464
705	4.215433138
706	4.213115249
707	4.209755205
708	4.208814042
709	4.207038524
710	4.203925652
711	4.200911245
712	4.198852999
713	4.19543217
714	4.192365073
715	4.191081167
716	4.187904759
717	4.186432727
718	4.184734059
719	4.182532075
720	4.180706621
721	4.179023249
722	4.177488978
723	4.175558242
724	4.17298587
725	4.171024323
726	4.169507793
727	4.168121909
728	4.166723164
729	4.16484702
730	4.162840517
731	4.161222716
732	4.159783411
733	4.157679005
734	4.154497031
735	4.151766702
736	4.150278086
737	4.147373038
738	4.143599286
739	4.141803429
740	4.139816328
741	4.138343867
742	4.135993872
743	4.133995178
744	4.13240952
745	4.131268014
746	4.13011793
747	4.127349497
748	4.125371004
749	4.123173284
750	4.121521163
751	4.118717787
752	4.116517995
753	4.115185003
754	4.113585579
755	4.112265951
756	4.109939754
757	4.10832189
758	4.107276415
759	4.106160037
760	4.103645514
761	4.100360922
762	4.097757268
763	4.095828292
764	4.093588095
765	4.091993319
766	4.090092768
767	4.087807813
768	4.085324423
769	4.082516862
770	4.079929429
771	4.077166577
772	4.074999222
773	4.072875378
774	4.071164613
775	4.06976921
776	4.067753775
777	4.066524457
778	4.065078496
779	4.063592827
780	4.062284098
781	4.060516481
782	4.059147241
783	4.056740528
784	4.055882755
785	4.054103404
786	4.051348995
787	4.050122827
788	4.047752261
789	4.046024284
790	4.044768487
791	4.042185099
792	4.041071174
793	4.038042157
794	4.035586469
795	4.032231583
796	4.029925075
797	4.028067089
798	4.026312241
799	4.025080699
800	4.022399757
801	4.021426188
802	4.019225905
803	4.017155915
804	4.015151559
805	4.013243317
806	4.011013367
807	4.009421341
808	4.008525482
809	4.007463712
810	4.005299542
811	4.002545642
812	4.001518669
813	4.000135559
814	3.999515984
815	3.997781134
816	3.994877643
817	3.992662887
818	3.991259102
819	3.98936174
820	3.986970531
821	3.982152687
822	3.980105432
823	3.978703999
824	3.977201485
825	3.97581801
826	3.97467367
827	3.973146561
828	3.971687963
829	3.969669088
830	3.96861385
831	3.966003584
832	3.962351838
833	3.961211519
834	3.959935124
835	3.958083409
836	3.956667948
837	3.954692079
838	3.952209871
839	3.950719425
840	3.948440261
841	3.946642879
842	3.944933136
843	3.94406813
844	3.941988484
845	3.940625978
846	3.938790207
847	3.937663041
848	3.934690192
849	3.932828887
850	3.930528412
851	3.928510988
852	3.926723618
853	3.925002765
854	3.920584587
855	3.918868315
856	3.917716245
857	3.914817947
858	3.91386767
859	3.911268183
860	3.90952765
861	3.908359847
862	3.906521901
863	3.904236921
864	3.902193834
865	3.901060994
866	3.899698887
867	3.898389524
868	3.897004512
869	3.895702073
870	3.893965667
871	3.89056944
872	3.888399457
873	3.886037186
874	3.884508358
875	3.88324275
876	3.880489497
877	3.879170284
878	3.877725595
879	3.876180592
880	3.872951326
881	3.871163194
882	3.869362775
883	3.865224901
884	3.864166887
885	3.862443767
886	3.860497517
887	3.859469784
888	3.85715023
889	3.854883705
890	3.852308491
891	3.850794616
892	3.84915678
893	3.846779907
894	3.845488612
895	3.843700205
896	3.841564315
897	3.839422914
898	3.837993631
899	3.836779407
900	3.834480101
901	3.832008348
902	3.830692548
903	3.82849921
904	3.827047905
905	3.824923045
906	3.823654155
907	3.821160491
908	3.820367658
909	3.818135773
910	3.816669711
911	3.814273644
912	3.813058426
913	3.810338215
914	3.80928518
915	3.807442509
916	3.804719457
917	3.80175775
918	3.799748091
919	3.798890984
920	3.798098932
921	3.796051763
922	3.794534296
923	3.79355566
924	3.792573786
925	3.789657983
926	3.787777977
927	3.786322031
928	3.783939692
929	3.782285258
930	3.780778179
931	3.778615413
932	3.776765637
933	3.774312158
934	3.772126891
935	3.771173164
936	3.768171435
937	3.766084741
938	3.764776296
939	3.762525807
940	3.760639568
941	3.75851249
942	3.756420662
943	3.754609079
944	3.753232703
945	3.752101074
946	3.750604736
947	3.74837188
948	3.745902794
949	3.744113005
950	3.74248971
951	3.740544987
952	3.739791964
953	3.738740118
954	3.737654475
955	3.736311499
956	3.734018655
957	3.73256662
958	3.731045819
959	3.729043028
960	3.727836377
961	3.726354292
962	3.724936011
963	3.723279662
964	3.720772049
965	3.719095132
966	3.718220918
967	3.716748504
968	3.715695659
969	3.714416434
970	3.712226496
971	3.710834407
972	3.709565887
973	3.708491768
974	3.707283789
975	3.705433828
976	3.704291421
977	3.702549525
978	3.701184931
979	3.699230539
980	3.697525311
981	3.696395291
982	3.694948341
983	3.692032765
984	3.689323125
985	3.686728122
986	3.684960788
987	3.682308644
988	3.680561038
989	3.677927709
990	3.676513467
991	3.674890358
992	3.673781069
993	3.671968856
994	3.670303578
995	3.668222388
996	3.66665657
997	3.664827634
998	3.663937879
999	3.662874509
